Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	41309.225				
0	46281.486				
0.001	37315.632				
0.001	50180.369				
0.002	-45744.797				
0.002	-104780.526				
0.002	-88443.098				
0.003	-95641.038				
0.003	-87653.851				
0.004	-90258.368				
0.004	-85601.807				
0.004	-86675.184				
0.005	-82760.515				
0.005	-82776.3				
0.006	-80282.277				
0.006	-79729.804				
0.006	-77235.781				
0.007	-76509.673				
0.007	-74883.823				
0.008	-73636.811				
0.008	-71884.681				
0.008	-70874.444				
0.009	-69674.788				
0.009	-68238.357				
0.01	-66833.496				
0.01	-65807.474				
0.01	-64670.957				
0.011	-63234.527				
0.011	-62050.655				
0.012	-61087.773				
0.012	-59872.331				
0.012	-58609.535				
0.013	-57567.728				
0.013	-56620.631				
0.014	-55594.609				
0.014	-54394.952				
0.014	-53400.5				
0.015	-52642.822				
0.015	-51506.306				
0.016	-50496.068				
0.016	-49454.262				
0.016	-48886.003				
0.017	-47575.852				
0.017	-47007.594				
0.018	-45681.657				
0.018	-45555.378				
0.018	-43708.538				
0.019	-44087.377				
0.019	-41798.559				
0.02	-42871.936				
0.02	-39604.45				
0.02	-42066.903				
0.021	-37094.642				
0.021	-41151.376				
0.022	68080.507				
0.022	104164.913				
0.022	92610.326				
0.023	96840.694				
0.023	90779.272				
0.024	91994.713				
0.024	88537.808				
0.024	88616.733				
0.025	85380.817				
0.025	84954.624				
0.026	82934.149				
0.026	81860.772				
0.026	79682.449				
0.027	78798.491				
0.027	77267.351				
0.028	75909.845				
0.028	74236.64				
0.028	73305.327				
0.029	71916.251				
0.029	70511.39				
0.03	69169.669				
0.03	68159.432				
0.03	66943.991				
0.031	65570.7				
0.031	64402.613				
0.032	63471.301				
0.032	62271.644				
0.032	61008.848				
0.033	59903.901				
0.033	59019.944				
0.034	57883.427				
0.034	56699.555				
0.034	55847.168				
0.035	54884.286				
0.035	53874.049				
0.036	52753.317				
0.036	52058.779				
0.036	50953.832				
0.037	50227.724				
0.037	49028.068				
0.038	48586.089				
0.038	47291.723				
0.038	46865.529				
0.039	45381.743				
0.039	45508.023				
0.04	43503.334				
0.04	44339.936				
0.04	41088.236				
0.041	45223.894				
0.041	25508.486				
0.042	-89248.131				
0.042	-94946.5				
0.042	-93131.23				
0.043	-91221.25				
0.043	-89500.69				
0.044	-87748.56				
0.044	-86548.904				
0.044	-84702.064				
0.045	-82965.719				
0.045	-81560.858				
0.046	-80313.847				
0.046	-78561.717				
0.046	-76967.437				
0.047	-75815.135				
0.047	-74457.629				
0.048	-72863.349				
0.048	-71411.133				
0.048	-70400.896				
0.049	-69106.529				
0.049	-67606.959				
0.05	-66359.947				
0.05	-65333.925				
0.05	-64118.484				
0.051	-62760.978				
0.051	-61608.676				
0.052	-60677.364				
0.052	-59414.568				
0.052	-58230.696				
0.053	-57252.029				
0.053	-56210.222				
0.054	-55026.35				
0.054	-53921.404				
0.054	-53100.586				
0.055	-52121.919				
0.055	-51111.682				
0.056	-49990.95				
0.056	-49422.692				
0.056	-48112.54				
0.057	-47654.777				
0.057	-46092.066				
0.058	-46249.916				
0.058	-44118.947				
0.058	-44687.205				
0.059	-42051.118				
0.059	-43771.678				
0.06	-39683.375				
0.06	-43156.065				
0.06	-36179.115				
0.061	-46534.045				
0.061	-5524.734				
0.062	101670.89				
0.062	93936.262				
0.062	97661.512				
0.063	92057.853				
0.063	92894.455				
0.064	89342.841				
0.064	89548.045				
0.064	86469.979				
0.065	85680.731				
0.065	83691.827				
0.066	82871.01				
0.066	80676.901				
0.066	79461.459				
0.067	78103.953				
0.067	76872.727				
0.068	75089.027				
0.068	73810.446				
0.068	72673.929				
0.069	71363.778				
0.069	69864.207				
0.07	68759.261				
0.07	67685.884				
0.07	66391.517				
0.071	65049.796				
0.071	63976.419				
0.072	62981.967				
0.072	61719.171				
0.072	60519.514				
0.073	59603.987				
0.073	58483.255				
0.074	57409.878				
0.074	56304.932				
0.074	55515.684				
0.075	54379.167				
0.075	53432.07				
0.076	52295.553				
0.076	51900.929				
0.076	50338.219				
0.077	50117.23				
0.077	48238.82				
0.078	48870.218				
0.078	46170.991				
0.078	47465.357				
0.079	43929.528				
0.079	46770.819				
0.08	41151.376				
0.08	46818.174				
0.08	36621.094				
0.081	52263.983				
0.081	-24008.915				
0.082	-105664.483				
0.082	-88253.679				
0.082	-96193.511				
0.083	-87669.636				
0.083	-90668.777				
0.084	-85712.301				
0.084	-87085.592				
0.084	-82965.719				
0.085	-83028.859				
0.085	-80519.051				
0.086	-80092.858				
0.086	-77551.48				
0.086	-76714.877				
0.087	-75136.382				
0.087	-73999.865				
0.088	-72121.456				
0.088	-71000.724				
0.088	-69895.777				
0.089	-68506.701				
0.089	-67007.131				
0.09	-65917.969				
0.09	-64813.022				
0.09	-63502.871				
0.091	-62224.289				
0.091	-61229.837				
0.092	-60124.891				
0.092	-58846.309				
0.092	-57741.362				
0.093	-56873.19				
0.093	-55689.318				
0.094	-54568.587				
0.094	-53542.565				
0.094	-52816.457				
0.095	-51569.445				
0.095	-50717.058				
0.096	-49580.541				
0.096	-49185.917				
0.096	-47607.422				
0.097	-47339.078				
0.097	-45681.657				
0.098	-46092.066				
0.098	-43519.119				
0.098	-44655.635				
0.099	-41419.72				
0.099	-43834.818				
0.1	-38641.568				
0.1	-43740.108				
0.1	-34647.974				
0.101	-47702.132				
0.101	46912.884				
0.102	107527.108				
0.102	91126.541				
0.102	98324.48				
0.103	90321.508				
0.103	92926.025				
0.104	88301.034				
0.104	89279.701				
0.104	85286.108				
0.105	85443.957				
